Unnamed: 0,filename,len_in_sec,sr,num_hops,OVRL_raw,SIG_raw,BAK_raw,OVRL,SIG,BAK,P808_MOS
1,/data/datasets/LRS3/trainval/vo2cse4CoGM/50016.wav,2.688,16000,1,3.5531704,3.8760877,4.291484,3.907751203541329,4.211167996592443,4.484171605584068,3.560751
2,/data/datasets/LRS3/trainval/H7Gn2a0GnAc/50002.wav,2.56,16000,1,3.4956312,3.9521177,3.8660197,3.849181442505993,4.282837349312435,4.0751138815578365,3.3374166
3,/data/datasets/LRS3/trainval/vo2cse4CoGM/50007.wav,2.56,16000,1,2.9915812,3.5272367,3.5641434,3.322398641628157,3.869247160268988,3.754015358573158,3.045759
4,/data/datasets/LRS3/trainval/3DsHHfu4Sco/50003.wav,1.28,16000,1,2.7805252,3.3175583,3.2525043,3.0951381878017834,3.65415840574072,3.4055431725538616,2.9649284
5,/data/datasets/LRS3/trainval/vo2cse4CoGM/50020.wav,5.888,16000,2,3.8403587,4.1960535,4.2570534,4.194841815484278,4.505354963183427,4.453412212264141,3.5967498
6,/data/datasets/LRS3/trainval/vo2cse4CoGM/50006.wav,4.608,16000,1,3.7724998,4.096646,4.365984,4.127815913744309,4.416078528258533,4.54907697142799,3.4955046
7,/data/datasets/LRS3/trainval/3DsHHfu4Sco/50001.wav,2.432,16000,1,3.0472836,3.614292,3.5532327,3.381755094695848,3.9565053964102974,3.742055534662984,3.696835
8,/data/datasets/LRS3/trainval/vo2cse4CoGM/50017.wav,5.696,16000,2,3.7054954,4.0490017,4.3016567,4.060831370180071,4.372375077266833,4.492266716708221,3.5897644
9,/data/datasets/LRS3/trainval/7POkIJfbMyU/50001.wav,2.88,16000,2,2.5549023,3.8453002,2.5760195,2.848316647235108,4.1818429666089845,2.632630883349182,3.2042558
10,/data/datasets/LRS3/trainval/vo2cse4CoGM/50018.wav,5.952,16000,2,3.2483635,3.6481762,4.057969,3.5935201225862885,3.989521056476206,4.267037489529683,3.5953119
12,/data/datasets/LRS3/trainval/vo2cse4CoGM/50004.wav,5.888,16000,2,3.984162,4.279215,4.5547276,4.334420526344488,4.577721067878308,4.700905450057816,3.9061608
13,/data/datasets/LRS3/trainval/vo2cse4CoGM/50002.wav,5.696,16000,2,3.988696,4.354368,4.2695637,4.339092582685969,4.643405323487547,4.458823505633845,3.8319235
14,/data/datasets/LRS3/trainval/7POkIJfbMyU/50029.wav,4.608,16000,1,2.6364958,3.904669,2.580854,2.9380192011573514,4.238234982250198,2.638063528725789,3.3646786
15,/data/datasets/LRS3/trainval/7POkIJfbMyU/50028.wav,5.952,16000,2,3.5047674,3.982244,3.9449978,3.85828851288952,4.310935147004214,4.150867664497241,3.3731046
16,/data/datasets/LRS3/trainval/vo2cse4CoGM/50005.wav,5.504,16000,2,3.556953,3.900353,4.3521156,3.91102541365259,4.232842900120062,4.536310091721473,3.5269072
17,/data/datasets/LRS3/trainval/vo2cse4CoGM/50015.wav,5.76,16000,2,3.8293028,4.1231165,4.478894,4.183423277251972,4.439551916168192,4.641620169915772,3.8877816
18,/data/datasets/LRS3/trainval/7POkIJfbMyU/50015.wav,2.432,16000,1,2.7737052,4.051619,2.7265956,3.0877344962487805,4.374997456531221,2.8033132157293297,3.0739112
19,/data/datasets/LRS3/trainval/vo2cse4CoGM/50003.wav,6.144,16000,3,3.3293808,3.8681793,3.646827,3.678001415805765,4.20355105028396,3.8424647706656216,3.6078918
20,/data/datasets/LRS3/trainval/7POkIJfbMyU/50020.wav,5.44,16000,1,2.619208,3.9471536,2.596414,2.919055102587316,4.278190587338312,2.655606328223498,3.4136605
21,/data/datasets/LRS3/trainval/7POkIJfbMyU/50013.wav,1.28,16000,1,2.6547096,3.7238102,2.943251,2.9579751465509165,4.064487117221459,3.051494195537248,2.8408818
22,/data/datasets/LRS3/trainval/vo2cse4CoGM/50009.wav,5.568,16000,2,3.4817414,4.1831455,3.503397,3.8340253435747726,4.493875484925548,3.683006557092797,4.0420403
