                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.274  5.731  -3.183  4.761  10.008  14.401  22.562
SSNR                      824.0  1.024  6.168 -16.768 -3.636   1.247   6.012  16.199
ESTOI                     824.0  0.833  0.123   0.296  0.767   0.858   0.929   0.999
PESQ_WB                   824.0  2.227  0.732   1.041  1.594   2.210   2.782   4.327
POLQA_WB                  470.0  3.464  0.699   1.630  3.000   3.550   3.960   4.750
DNSMOS_P808               824.0  3.313  0.339   2.210  3.100   3.310   3.561   4.135
DNSMOS_OVRL               824.0  2.943  0.322   1.122  2.821   2.999   3.153   3.457
DNSMOS_SIG                824.0  3.448  0.255   1.217  3.378   3.501   3.582   3.799
DNSMOS_BAK                824.0  3.574  0.490   1.153  3.418   3.691   3.907   4.190
MOS_COL                   824.0  3.644  0.449   2.359  3.318   3.682   3.973   4.670
MOS_DISC                  824.0  3.652  0.497   2.278  3.300   3.654   4.009   4.888
MOS_LOUD                  824.0  3.730  0.362   2.543  3.491   3.740   3.974   4.824
MOS_REVERB                824.0  4.102  0.376   3.028  3.837   4.127   4.380   4.857
MOS_SIG                   824.0  3.284  0.417   1.995  3.004   3.303   3.566   4.685
MOS_OVRL                  824.0  2.831  0.460   1.481  2.524   2.881   3.159   4.328
WER_QuartzNet15x5Base-En  824.0  0.078  0.158   0.000  0.000   0.000   0.100   1.000
