FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,15.469,6.22,0.826,2.981,,3.574,3.263,3.585,4.023,3.708,3.741,3.203,3.7,3.236,2.976,0.0
p232_002.wav,2.715,,11.332,5.928,0.954,3.416,4.22,3.635,3.235,3.653,3.769,4.312,3.786,3.55,3.996,4.102,3.63,0.0
p232_003.wav,7.185,,6.754,-0.161,0.928,3.037,4.22,3.857,3.117,3.502,3.857,3.321,4.185,4.0,4.648,3.626,3.222,0.05
p232_005.wav,6.247,,2.355,-2.263,0.791,1.613,2.55,3.818,2.665,3.593,2.815,4.178,3.15,3.3,3.539,2.773,2.643,0.0
p232_006.wav,5.104,,17.603,11.556,0.911,2.565,3.68,4.07,3.329,3.605,4.092,3.922,4.145,4.182,4.259,3.71,3.361,0.059
p232_007.wav,3.956,,13.635,7.242,0.922,2.45,3.4,3.937,3.207,3.612,3.762,3.752,4.42,4.4,4.62,3.968,3.271,0.0
p232_009.wav,4.158,,7.093,2.368,0.898,2.262,3.37,3.63,2.999,3.535,3.583,3.722,3.994,4.092,4.697,3.196,2.807,0.0
p232_010.wav,2.764,,2.764,-6.691,0.573,1.367,2.19,2.942,2.38,3.549,2.382,3.514,2.947,3.324,3.057,2.62,2.345,0.125
p232_011.wav,6.538,,18.112,12.163,0.936,2.885,4.02,4.035,3.257,3.652,3.828,3.635,4.314,4.601,4.791,4.03,3.556,0.0
p232_012.wav,4.336,,13.604,8.066,0.935,2.653,3.5,3.783,3.255,3.596,3.934,3.987,3.907,3.829,4.373,3.686,3.299,0.0
p232_013.wav,3.943,,9.139,3.132,0.921,1.937,2.88,3.774,3.143,3.541,3.824,3.853,3.63,4.473,4.425,3.392,2.304,0.0
p232_014.wav,4.617,,3.72,-1.084,0.838,1.573,2.26,3.559,2.982,3.603,3.411,2.734,3.22,4.108,4.075,2.751,2.329,0.0
p232_015.wav,5.32,,16.931,12.729,0.987,3.71,4.33,3.977,3.425,3.675,4.109,4.131,3.597,3.924,3.975,4.003,3.675,0.0
p232_016.wav,5.569,,12.014,8.039,0.979,3.46,4.16,4.115,3.247,3.606,3.925,3.917,3.821,3.99,4.532,3.606,3.295,0.0
p232_017.wav,2.889,,6.416,0.132,0.978,2.863,3.97,3.419,3.108,3.473,3.915,4.091,4.304,4.308,4.751,3.512,2.837,0.25
p232_019.wav,6.736,,2.093,-2.417,0.942,2.387,3.31,3.596,3.115,3.629,3.664,3.739,3.051,4.114,4.298,2.917,2.473,0.105
p232_020.wav,3.617,,17.172,9.54,0.914,3.106,4.27,3.848,3.255,3.571,3.978,3.668,4.059,3.81,4.685,3.38,3.126,0.0
p232_021.wav,8.51,,12.21,8.849,0.937,2.899,3.59,4.034,3.203,3.597,3.803,3.622,3.726,4.19,4.452,3.709,3.338,0.0
p232_022.wav,5.794,,8.359,4.598,0.928,2.185,3.23,3.835,3.173,3.631,3.743,3.932,3.273,4.112,4.465,3.273,2.872,0.056
p232_023.wav,9.769,,2.785,-3.204,0.859,1.625,2.67,3.343,2.894,3.652,3.168,3.795,3.102,4.055,4.069,2.623,2.409,0.111
p232_024.wav,5.52,,17.357,14.361,0.991,3.948,4.55,3.988,3.291,3.658,3.89,4.528,4.735,4.039,4.691,4.656,4.089,0.0
p232_025.wav,1.876,,12.339,4.136,0.931,2.853,,3.704,3.086,3.528,3.749,3.924,3.831,3.164,3.848,3.452,3.04,0.0
p232_027.wav,3.771,,6.82,1.728,0.976,3.244,4.04,3.896,3.164,3.602,3.782,3.704,3.542,3.573,4.552,3.226,3.036,0.0
p232_028.wav,2.065,,0.565,-11.968,0.676,1.849,,3.436,2.82,3.468,3.378,2.901,3.191,2.982,3.784,2.83,2.557,0.0
p232_029.wav,3.415,,18.454,9.106,0.923,2.586,3.37,3.922,3.181,3.515,3.939,4.148,3.59,4.051,4.475,3.856,3.377,0.0
p232_030.wav,3.849,,12.399,8.115,0.973,2.622,3.82,3.874,3.129,3.503,3.851,3.955,3.728,3.537,3.67,3.39,3.048,0.0
p232_031.wav,2.29,,5.846,-2.727,0.664,1.897,2.91,3.371,2.921,3.511,3.459,3.318,4.191,3.172,3.722,3.253,3.099,0.0
p232_032.wav,3.49,,4.019,-1.435,0.654,1.291,1.96,3.034,2.543,3.511,2.807,2.926,4.01,3.819,3.583,2.587,2.052,0.364
p232_033.wav,1.448,,17.299,5.733,0.811,2.401,,3.546,2.879,3.244,3.814,3.56,4.143,3.598,4.04,3.339,2.975,0.0
p232_034.wav,1.472,,12.814,3.845,0.713,2.196,,3.374,2.772,3.512,3.226,3.694,3.882,3.803,4.648,3.984,3.387,0.0
p232_035.wav,3.158,,8.732,3.141,0.936,2.072,3.02,3.396,3.243,3.645,3.876,3.639,3.686,3.598,3.923,3.086,2.496,0.154
p232_036.wav,2.843,,4.367,-1.644,0.794,1.532,2.25,3.401,2.837,3.251,3.733,2.646,4.713,3.66,4.082,3.269,2.595,0.2
p232_037.wav,3.856,,16.573,11.649,0.996,3.748,4.61,3.799,3.356,3.605,4.109,4.37,3.698,4.099,4.462,3.685,3.232,0.0
p232_038.wav,2.09,,10.939,1.777,0.907,2.81,,3.749,3.086,3.485,3.855,3.986,3.167,3.438,3.385,3.563,3.198,0.0
p232_039.wav,1.94,,4.407,-6.512,0.618,2.158,,3.087,2.759,3.27,3.675,3.634,2.751,3.347,3.596,3.415,3.258,0.0
p232_040.wav,1.898,,0.47,-7.329,0.983,2.554,,3.29,3.079,3.501,3.808,3.5,2.218,3.74,3.223,3.128,2.993,0.0
p232_041.wav,2.007,,17.414,7.803,0.828,2.492,,3.403,3.123,3.519,3.796,3.744,3.803,3.997,4.228,3.778,3.118,0.0
p232_042.wav,2.514,,11.402,5.134,0.986,3.248,4.12,4.092,3.245,3.562,4.025,3.761,4.3,4.148,4.355,3.87,3.575,0.0
p232_043.wav,1.96,,8.982,-1.613,0.75,1.793,,3.087,3.317,3.651,3.984,2.83,3.144,3.302,4.271,2.755,2.318,0.0
p232_044.wav,1.383,,0.772,-8.317,0.65,1.206,,3.062,2.405,3.146,2.962,2.714,2.598,3.184,4.173,2.355,2.017,0.0
p232_045.wav,1.238,,14.362,3.067,0.9,3.504,,3.32,3.034,3.355,3.958,3.782,3.517,3.674,3.946,3.521,3.152,0.0
p232_046.wav,1.416,,10.226,-1.54,0.774,2.253,,3.188,2.678,3.166,3.54,3.617,3.281,3.454,3.661,3.139,3.051,0.0
p232_047.wav,1.926,,6.583,-2.741,0.845,2.589,,3.156,2.962,3.372,3.805,4.052,3.793,3.376,4.28,3.723,3.343,0.0
p232_048.wav,1.82,,-0.318,-13.219,0.624,1.978,,3.36,2.816,3.584,3.191,4.012,3.024,3.571,4.066,2.93,2.595,0.2
p232_049.wav,2.941,,16.783,12.184,0.954,2.794,3.69,3.782,3.167,3.581,3.769,3.567,3.874,3.69,4.23,3.459,3.346,0.0
p232_050.wav,1.733,,11.015,2.438,0.799,1.845,,3.187,2.909,3.266,3.868,4.218,4.494,3.944,4.771,4.218,3.116,0.0
p232_051.wav,1.476,,6.272,-6.389,0.73,1.674,,2.824,2.528,3.488,2.713,4.085,3.905,3.424,4.397,3.807,2.813,0.5
p232_052.wav,2.199,,4.348,-4.143,0.529,1.172,,2.939,1.913,3.153,1.922,2.771,3.202,2.863,3.074,2.613,1.897,0.286
p232_053.wav,1.644,,16.463,6.853,0.904,2.482,,3.779,3.001,3.294,3.955,4.373,3.94,3.311,4.521,3.984,3.148,0.0
p232_054.wav,3.706,,13.647,7.359,0.962,2.576,3.52,3.731,3.053,3.497,3.712,3.305,3.799,4.057,4.779,3.671,3.13,0.182
p232_055.wav,1.526,,5.572,-5.439,0.737,2.09,,3.307,2.925,3.494,3.507,3.404,2.648,3.616,3.47,3.113,2.568,0.0
p232_056.wav,1.803,,4.046,-5.16,0.697,1.526,,3.269,2.642,3.037,3.755,3.53,3.657,3.325,3.341,2.91,2.31,0.0
p232_057.wav,2.236,,16.05,7.652,0.926,2.829,4.23,3.624,3.064,3.348,4.039,3.857,3.718,3.743,4.266,3.073,2.735,0.0
p232_058.wav,3.899,,11.742,8.119,0.944,3.358,3.79,4.069,3.182,3.524,3.926,4.57,4.474,3.812,4.419,4.288,4.007,0.0
p232_059.wav,1.32,,4.682,-6.913,0.695,2.278,,3.064,2.999,3.397,3.903,3.137,2.956,3.244,3.756,2.844,2.622,0.0
p232_060.wav,2.34,,0.069,-10.843,0.731,2.265,2.6,3.072,2.728,3.269,3.481,3.177,2.769,3.255,3.582,2.836,2.269,0.0
p232_061.wav,3.249,,17.818,11.508,0.97,3.134,3.9,3.972,3.291,3.633,3.937,3.887,3.856,3.687,4.707,3.619,3.208,0.0
p232_062.wav,2.964,,12.984,6.246,0.948,2.55,3.6,3.483,3.072,3.503,3.678,3.62,4.257,3.813,4.371,3.721,3.143,0.111
p232_063.wav,2.264,,6.498,-2.353,0.92,2.064,3.68,3.464,2.984,3.563,3.49,3.29,3.396,3.271,4.053,3.522,2.787,0.2
p232_064.wav,2.01,,1.813,-9.673,0.794,1.626,,3.154,2.572,3.386,2.995,2.751,3.398,3.133,4.365,2.965,2.314,0.0
p232_065.wav,1.524,,20.086,9.908,0.877,2.964,,3.439,2.878,3.122,4.057,3.663,4.651,3.161,4.627,3.225,3.003,0.0
p232_066.wav,3.277,,12.184,6.556,0.947,3.029,4.29,3.683,2.916,3.332,3.712,4.025,4.572,3.959,4.557,4.278,3.377,0.0
p232_067.wav,2.617,,6.718,-0.731,0.921,2.875,3.31,3.551,3.066,3.454,3.821,3.444,4.09,3.362,4.338,3.629,3.085,0.167
p232_068.wav,2.522,,1.806,-2.595,0.913,2.642,3.45,3.728,2.94,3.5,3.446,3.539,4.121,3.713,4.313,2.908,2.535,0.0
p232_069.wav,2.669,,17.445,10.085,0.962,2.958,3.74,3.897,3.299,3.577,4.045,4.331,4.249,4.29,4.324,4.06,3.602,0.143
p232_070.wav,2.544,,11.73,4.691,0.846,2.632,3.19,3.636,2.963,3.593,3.383,3.503,3.304,3.582,3.774,3.595,3.331,0.25
p232_071.wav,2.589,,7.289,0.47,0.749,1.722,3.01,3.419,3.17,3.666,3.64,4.081,3.764,3.868,4.624,3.579,2.688,0.143
p232_072.wav,1.987,,1.85,-5.764,0.621,1.326,,2.905,2.526,3.3,2.995,3.801,3.79,3.577,4.078,3.099,2.517,0.0
p232_073.wav,1.908,,17.729,5.487,0.976,2.568,,3.783,3.302,3.574,4.106,3.923,3.726,3.357,3.871,3.516,3.231,0.0
p232_074.wav,2.21,,12.483,2.114,0.821,2.218,2.52,3.034,3.017,3.441,3.737,3.359,4.155,3.35,3.634,3.098,2.135,0.2
p232_075.wav,2.346,,8.584,-0.515,0.883,1.957,2.97,3.653,3.166,3.546,3.903,3.946,4.054,3.672,4.581,3.704,2.961,0.4
p232_076.wav,1.927,,3.11,-6.036,0.677,1.641,,3.155,2.956,3.573,3.511,3.953,3.232,3.578,4.806,3.374,2.985,0.0
p232_077.wav,1.742,,15.149,4.953,0.858,3.096,,3.48,2.977,3.294,3.941,3.501,3.677,3.607,4.011,3.966,3.518,0.0
p232_078.wav,2.261,,11.126,3.527,0.99,3.293,4.25,3.738,3.23,3.535,4.049,4.531,4.03,3.273,4.665,3.867,3.577,0.0
p232_079.wav,2.394,,5.872,-1.222,0.887,2.786,3.29,3.752,3.015,3.535,3.604,4.465,4.456,3.945,4.244,3.918,3.112,0.0
