                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.118  5.627  -3.242  4.728  9.936  13.672  22.424
SSNR                      824.0  0.705  5.984 -16.830 -3.984  0.855   5.398  13.618
ESTOI                     824.0  0.833  0.117   0.371  0.759  0.857   0.927   0.999
PESQ_WB                   824.0  2.142  0.718   1.056  1.490  2.106   2.713   4.097
POLQA_WB                  470.0  3.352  0.700   1.400  2.810  3.405   3.878   4.750
DNSMOS_P808               824.0  3.273  0.320   2.425  3.041  3.262   3.502   4.107
DNSMOS_OVRL               824.0  2.947  0.266   1.313  2.818  2.972   3.124   3.496
DNSMOS_SIG                824.0  3.468  0.188   1.613  3.386  3.500   3.586   3.806
DNSMOS_BAK                824.0  3.568  0.409   1.360  3.361  3.641   3.866   4.212
MOS_COL                   824.0  3.572  0.444   1.841  3.267  3.572   3.904   4.590
MOS_DISC                  824.0  3.563  0.471   2.312  3.226  3.558   3.906   4.831
MOS_LOUD                  824.0  3.702  0.351   2.566  3.473  3.686   3.932   4.774
MOS_REVERB                824.0  4.067  0.368   2.949  3.814  4.091   4.334   4.892
MOS_SIG                   824.0  3.167  0.401   1.903  2.875  3.180   3.430   4.483
MOS_OVRL                  824.0  2.731  0.436   1.370  2.405  2.768   3.057   4.165
WER_QuartzNet15x5Base-En  824.0  0.080  0.156   0.000  0.000  0.000   0.101   1.000
