FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,15.509,6.263,0.856,3.134,,3.772,3.272,3.572,4.044,3.802,3.647,3.646,3.832,3.818,3.358,0.0
p232_002.wav,2.715,,11.328,5.843,0.956,3.431,4.29,3.649,3.206,3.596,3.817,4.265,3.707,3.693,4.204,4.359,3.847,0.0
p232_003.wav,7.185,,6.781,-0.145,0.932,2.987,4.3,3.843,3.065,3.465,3.811,3.327,4.121,3.7,4.608,3.465,3.113,0.05
p232_005.wav,6.247,,2.011,-2.667,0.752,1.469,2.34,3.465,2.508,3.556,2.535,3.734,2.607,3.077,3.594,2.546,2.158,0.0
p232_006.wav,5.104,,17.402,11.265,0.905,2.679,3.58,4.055,3.17,3.531,3.883,3.972,3.514,3.916,4.291,3.56,3.194,0.059
p232_007.wav,3.956,,13.555,7.092,0.916,2.451,3.28,3.899,3.161,3.614,3.664,4.01,4.263,4.254,4.768,4.201,3.675,0.0
p232_009.wav,4.158,,6.96,2.083,0.891,2.187,3.35,3.827,3.104,3.458,3.878,3.512,3.638,3.705,4.572,2.903,2.37,0.0
p232_010.wav,2.764,,0.988,-10.636,0.421,1.224,1.92,2.358,1.119,1.259,1.15,2.749,2.494,2.922,3.362,2.725,1.863,0.125
p232_011.wav,6.538,,18.024,12.042,0.933,2.861,3.98,4.076,3.369,3.652,4.035,3.779,3.898,4.319,4.623,3.588,3.139,0.0
p232_012.wav,4.336,,13.205,7.443,0.908,2.412,3.38,3.685,3.099,3.627,3.582,3.912,3.661,3.977,4.307,3.455,3.106,0.0
p232_013.wav,3.943,,7.908,1.018,0.873,1.982,3.04,3.517,3.002,3.583,3.454,3.769,3.395,3.756,4.199,3.203,2.531,0.0
p232_014.wav,4.617,,2.345,-3.611,0.818,1.426,2.06,3.037,2.869,3.607,3.26,3.326,2.942,3.578,3.776,2.706,2.09,0.0
p232_015.wav,5.32,,17.071,12.978,0.986,3.691,4.25,3.98,3.434,3.672,4.129,4.192,3.631,3.849,4.084,3.816,3.522,0.0
p232_016.wav,5.569,,12.04,8.042,0.98,3.464,4.21,4.131,3.283,3.633,3.954,3.821,3.724,3.748,4.47,3.628,3.231,0.0
p232_017.wav,2.889,,6.481,0.211,0.979,3.057,4.14,3.415,3.086,3.434,3.897,3.933,3.48,4.133,4.553,3.409,2.911,0.25
p232_019.wav,6.736,,2.179,-2.117,0.942,2.311,3.19,3.564,3.207,3.662,3.79,3.607,2.967,4.08,4.07,2.859,2.449,0.105
p232_020.wav,3.617,,17.058,9.329,0.902,3.116,4.14,3.829,3.259,3.624,3.915,3.691,4.205,3.856,4.802,3.166,2.83,0.0
p232_021.wav,8.51,,12.11,8.603,0.946,2.915,3.66,4.053,3.219,3.599,3.847,3.903,3.967,4.488,4.663,3.716,3.382,0.0
p232_022.wav,5.794,,7.443,3.035,0.923,2.081,3.19,3.606,3.025,3.631,3.455,3.279,3.816,4.042,4.087,3.238,2.87,0.056
p232_023.wav,9.769,,2.276,-3.906,0.84,1.504,2.56,3.238,2.81,3.681,2.975,3.925,3.182,3.959,4.274,2.615,2.288,0.167
p232_024.wav,5.52,,17.342,14.011,0.99,3.985,4.58,3.977,3.289,3.618,3.923,4.552,4.655,4.053,4.594,4.558,4.13,0.0
p232_025.wav,1.876,,10.661,0.225,0.936,3.085,,3.738,3.164,3.529,3.894,4.408,3.753,3.264,3.938,3.714,3.16,0.0
p232_027.wav,3.771,,6.814,1.752,0.977,3.294,4.02,3.835,3.173,3.594,3.816,3.887,3.353,3.855,4.681,3.337,2.999,0.0
p232_028.wav,2.065,,0.314,-12.239,0.72,1.972,,3.379,2.857,3.539,3.343,3.621,3.242,2.85,3.601,3.519,2.745,0.0
p232_029.wav,3.415,,18.27,8.692,0.927,2.53,3.31,4.0,3.111,3.528,3.782,3.65,3.663,4.081,4.713,3.581,3.085,0.0
p232_030.wav,3.849,,12.464,7.86,0.976,2.613,3.83,3.819,3.149,3.521,3.859,4.124,3.39,3.361,3.966,3.199,3.004,0.0
p232_031.wav,2.29,,5.861,-2.375,0.707,1.915,2.96,3.766,3.091,3.463,3.896,3.818,3.604,3.682,3.934,3.304,3.153,0.0
p232_032.wav,3.49,,3.37,-2.397,0.641,1.264,1.82,2.882,2.387,3.496,2.493,2.861,3.681,3.239,3.756,2.956,2.051,0.182
p232_033.wav,1.448,,15.837,3.699,0.805,2.827,,3.292,2.69,3.416,3.115,3.598,4.194,3.579,4.204,3.18,2.965,0.0
p232_034.wav,1.472,,10.394,0.436,0.661,1.443,,2.838,2.465,3.416,2.77,3.453,3.782,3.358,4.232,3.23,3.061,0.0
p232_035.wav,3.158,,7.222,0.793,0.92,1.907,2.96,3.233,3.017,3.655,3.408,3.812,3.105,3.662,3.65,2.79,2.371,0.077
p232_036.wav,2.843,,1.815,-6.222,0.61,1.17,1.96,2.742,1.447,2.065,1.619,3.025,3.066,3.126,3.389,2.573,2.214,0.0
p232_037.wav,3.856,,16.627,11.653,0.997,3.645,4.61,3.836,3.369,3.616,4.115,4.194,3.428,4.004,4.46,3.73,3.278,0.0
p232_038.wav,2.09,,10.981,1.823,0.907,2.818,,3.749,3.087,3.475,3.873,4.182,3.294,3.465,3.462,3.666,3.149,0.0
p232_039.wav,1.94,,4.431,-6.495,0.612,2.26,,3.14,2.715,3.249,3.618,3.955,2.984,3.624,3.534,3.347,3.171,0.0
