                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.128  5.920  -3.106  4.100  10.003  14.644  26.789
SSNR                      824.0  0.712  6.464 -16.704 -4.180   0.929   5.923  19.555
ESTOI                     824.0  0.823  0.139   0.281  0.755   0.856   0.932   0.999
PESQ_WB                   824.0  2.250  0.772   1.033  1.546   2.258   2.861   4.104
POLQA_WB                  470.0  3.423  0.786   1.350  2.880   3.540   4.018   4.750
DNSMOS_P808               824.0  3.282  0.384   2.128  3.055   3.301   3.570   4.131
DNSMOS_OVRL               824.0  2.859  0.466   1.096  2.764   2.980   3.138   3.484
DNSMOS_SIG                824.0  3.364  0.434   1.179  3.348   3.473   3.568   3.815
DNSMOS_BAK                824.0  3.468  0.680   1.085  3.314   3.689   3.913   4.185
MOS_COL                   824.0  3.613  0.487   2.161  3.280   3.659   3.968   4.783
MOS_DISC                  824.0  3.631  0.482   2.384  3.299   3.645   3.957   4.883
MOS_LOUD                  824.0  3.714  0.390   2.566  3.438   3.715   3.983   4.900
MOS_REVERB                824.0  4.057  0.397   2.613  3.786   4.066   4.354   4.898
MOS_SIG                   824.0  3.279  0.427   2.073  2.997   3.298   3.573   4.581
MOS_OVRL                  824.0  2.820  0.508   1.495  2.472   2.901   3.186   4.389
WER_QuartzNet15x5Base-En  824.0  0.080  0.161   0.000  0.000   0.000   0.100   1.000
