                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.113  5.993  -3.118  4.167  9.526  14.904  25.316
SSNR                      824.0  0.622  6.545 -16.659 -4.466  0.772   5.950  15.600
ESTOI                     824.0  0.815  0.142   0.297  0.736  0.849   0.930   0.999
PESQ_WB                   824.0  2.213  0.794   1.038  1.449  2.198   2.859   4.260
POLQA_WB                  470.0  3.390  0.802   1.420  2.760  3.470   4.018   4.750
DNSMOS_P808               824.0  3.243  0.399   2.129  2.968  3.260   3.552   4.122
DNSMOS_OVRL               824.0  2.812  0.504   1.097  2.698  2.955   3.129   3.493
DNSMOS_SIG                824.0  3.343  0.472   1.189  3.350  3.480   3.568   3.782
DNSMOS_BAK                824.0  3.382  0.737   1.103  3.125  3.641   3.901   4.185
MOS_COL                   824.0  3.544  0.487   2.256  3.210  3.580   3.873   4.854
MOS_DISC                  824.0  3.587  0.518   2.109  3.219  3.589   3.965   4.929
MOS_LOUD                  824.0  3.684  0.378   2.745  3.403  3.678   3.962   4.824
MOS_REVERB                824.0  4.056  0.387   2.894  3.764  4.078   4.341   4.910
MOS_SIG                   824.0  3.234  0.444   2.174  2.897  3.238   3.556   4.801
MOS_OVRL                  824.0  2.762  0.522   1.511  2.364  2.796   3.186   4.603
WER_QuartzNet15x5Base-En  824.0  0.078  0.158   0.000  0.000  0.000   0.101   1.000
