                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.611  5.535  -3.230  5.252  10.039  14.626  21.564
SSNR                      824.0  2.046  5.492 -16.727 -2.107   2.300   6.516  15.325
ESTOI                     824.0  0.795  0.139   0.211  0.714   0.825   0.912   0.998
PESQ_WB                   824.0  1.970  0.590   1.042  1.474   1.887   2.411   3.667
POLQA_WB                  470.0  3.074  0.742   1.290  2.602   3.020   3.628   4.740
DNSMOS_P808               824.0  3.237  0.324   2.352  2.994   3.234   3.470   4.066
DNSMOS_OVRL               824.0  2.767  0.362   1.097  2.602   2.827   3.013   3.461
DNSMOS_SIG                824.0  3.284  0.328   1.204  3.168   3.346   3.492   3.701
DNSMOS_BAK                824.0  3.463  0.470   1.131  3.263   3.545   3.792   4.180
MOS_COL                   824.0  3.668  0.412   2.422  3.385   3.682   3.987   4.725
MOS_DISC                  824.0  3.583  0.524   1.720  3.210   3.595   3.926   4.913
MOS_LOUD                  824.0  3.824  0.367   2.672  3.582   3.828   4.056   4.966
MOS_REVERB                824.0  3.974  0.462   2.587  3.655   4.005   4.330   4.963
MOS_SIG                   824.0  3.141  0.377   1.614  2.900   3.124   3.383   4.526
MOS_OVRL                  824.0  2.728  0.384   1.315  2.466   2.722   2.983   4.060
WER_QuartzNet15x5Base-En  824.0  0.108  0.199   0.000  0.000   0.000   0.167   1.000
