                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  10.586  5.724  -3.376  6.094  11.212  15.930  24.247
SSNR                      824.0   3.023  5.504 -16.846 -0.815   3.578   7.237  16.522
ESTOI                     824.0   0.803  0.136   0.244  0.723   0.831   0.914   0.998
PESQ_WB                   824.0   2.059  0.621   1.036  1.549   2.008   2.526   3.697
POLQA_WB                  470.0   3.148  0.752   1.350  2.630   3.120   3.690   4.750
DNSMOS_P808               824.0   3.242  0.329   2.362  2.995   3.231   3.485   4.097
DNSMOS_OVRL               824.0   2.799  0.345   1.110  2.630   2.836   3.041   3.433
DNSMOS_SIG                824.0   3.331  0.306   1.199  3.228   3.396   3.518   3.742
DNSMOS_BAK                824.0   3.450  0.472   1.007  3.210   3.536   3.777   4.189
MOS_COL                   824.0   3.569  0.434   2.144  3.277   3.580   3.878   4.566
MOS_DISC                  824.0   3.706  0.526   1.946  3.334   3.716   4.091   4.897
MOS_LOUD                  824.0   3.812  0.364   2.551  3.562   3.823   4.067   4.891
MOS_REVERB                824.0   4.047  0.439   2.743  3.727   4.058   4.404   4.904
MOS_SIG                   824.0   3.132  0.398   1.753  2.866   3.129   3.380   4.390
MOS_OVRL                  824.0   2.721  0.399   1.433  2.460   2.736   3.002   4.286
WER_QuartzNet15x5Base-En  824.0   0.101  0.191   0.000  0.000   0.000   0.125   1.167
