FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,17.938,9.378,0.837,2.614,,3.745,3.137,3.511,3.816,3.305,3.55,3.358,3.642,2.954,2.714,0.0
p232_002.wav,2.715,,14.294,9.565,0.943,2.941,3.99,3.578,3.427,3.683,4.105,3.609,4.107,3.915,4.292,3.721,3.25,0.0
p232_003.wav,7.185,,9.274,6.032,0.927,2.857,4.03,3.77,3.175,3.507,3.948,3.847,3.841,3.655,4.632,3.902,3.421,0.05
p232_005.wav,6.247,,4.25,3.061,0.782,1.51,2.2,3.776,2.824,3.644,3.025,3.256,3.494,2.841,3.745,2.753,2.551,0.1
p232_006.wav,5.104,,17.634,11.257,0.889,2.374,3.33,3.86,3.061,3.488,3.736,3.923,4.276,4.006,3.916,3.661,3.297,0.059
p232_007.wav,3.956,,12.848,6.013,0.882,1.904,2.89,3.858,2.8,3.607,3.035,4.109,3.195,4.395,4.203,3.514,2.68,0.083
p232_009.wav,4.158,,8.127,4.365,0.87,1.942,2.87,3.598,2.968,3.399,3.689,3.914,4.112,3.774,4.396,2.89,2.665,0.0
p232_010.wav,2.764,,2.221,-7.368,0.512,1.307,1.87,2.774,2.239,3.181,2.589,3.396,2.757,3.484,2.974,2.041,1.943,0.25
p232_011.wav,6.538,,18.097,11.915,0.924,2.755,3.7,3.941,3.214,3.649,3.723,3.608,4.123,4.549,4.725,3.52,3.134,0.0
p232_012.wav,4.336,,14.158,8.908,0.919,2.237,3.04,3.724,3.027,3.622,3.414,3.928,4.185,3.979,4.768,3.799,3.436,0.0
p232_013.wav,3.943,,9.091,2.507,0.859,1.695,2.72,3.621,2.834,3.543,3.209,4.282,3.954,4.098,4.436,2.964,2.626,0.0
p232_014.wav,4.617,,4.562,0.834,0.785,1.554,2.14,3.793,2.939,3.602,3.347,3.847,3.132,4.341,4.548,2.787,1.955,0.0
p232_015.wav,5.32,,17.856,13.922,0.984,3.473,4.25,3.971,3.536,3.743,4.202,3.897,3.96,3.848,4.143,3.856,3.517,0.0
p232_016.wav,5.569,,12.175,8.101,0.975,3.332,4.13,4.08,3.274,3.605,3.968,3.56,3.845,3.935,4.564,3.571,3.164,0.0
