FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,15.381,6.054,0.844,2.92,3.747,3.247,3.555,4.013,3.774,3.849,3.576,3.872,3.53,3.17,0.0
p232_002.wav,2.715,,11.272,5.859,0.952,3.455,3.735,3.216,3.594,3.851,4.356,3.885,3.761,4.023,4.319,3.717,0.0
p232_003.wav,7.185,,6.707,-0.185,0.936,3.039,3.82,3.104,3.492,3.847,3.396,3.826,3.696,4.354,3.366,3.0,0.05
p232_005.wav,6.247,,2.004,-2.617,0.79,1.552,3.759,2.603,3.558,2.696,3.877,3.177,3.035,3.749,2.77,2.587,0.0
p232_006.wav,5.104,,17.32,11.276,0.897,2.678,4.032,3.182,3.541,3.884,3.949,3.808,3.767,4.09,3.342,3.07,0.059
p232_007.wav,3.956,,13.425,6.793,0.9,2.259,3.827,3.145,3.595,3.663,3.958,4.204,3.921,4.18,3.641,3.314,0.0
p232_009.wav,4.158,,6.977,2.031,0.901,2.253,3.771,2.997,3.482,3.654,3.807,3.778,3.693,4.646,2.834,2.456,0.0
p232_010.wav,2.764,,2.702,-7.49,0.533,1.377,3.012,2.432,3.549,2.416,3.704,3.39,3.388,3.321,2.858,2.239,0.125
p232_011.wav,6.538,,17.377,10.98,0.931,2.95,3.99,3.41,3.716,4.033,3.915,4.221,4.486,4.82,3.584,3.084,0.0
p232_012.wav,4.336,,13.305,7.798,0.927,2.451,3.781,3.254,3.597,3.944,3.997,3.641,3.8,4.286,3.592,3.212,0.0
p232_013.wav,3.943,,7.76,0.836,0.898,1.906,3.568,3.199,3.623,3.815,3.445,3.595,3.856,3.89,2.955,2.24,0.0
p232_014.wav,4.617,,3.224,-1.908,0.828,1.578,3.298,3.102,3.644,3.607,3.246,3.734,4.513,4.384,2.838,2.144,0.0
p232_015.wav,5.32,,16.795,12.624,0.986,3.716,3.979,3.452,3.68,4.148,3.977,3.627,3.795,3.959,3.758,3.498,0.0
p232_016.wav,5.569,,11.868,7.936,0.977,3.456,4.094,3.261,3.605,3.943,3.731,3.825,3.57,4.377,3.556,3.208,0.0
p232_017.wav,2.889,,6.416,0.094,0.981,2.998,3.461,3.09,3.437,3.899,4.204,3.226,4.078,4.477,3.258,2.778,0.25
p232_019.wav,6.736,,2.134,-2.137,0.944,2.219,3.572,3.181,3.645,3.744,3.531,2.877,4.071,4.046,2.837,2.409,0.105
p232_020.wav,3.617,,19.527,11.73,0.912,2.959,3.85,3.35,3.633,4.059,3.645,4.305,4.193,4.788,3.485,3.077,0.0
p232_021.wav,8.51,,11.928,8.289,0.936,2.867,4.003,3.09,3.628,3.499,4.004,3.551,4.582,4.54,3.381,3.096,0.0
p232_022.wav,5.794,,9.548,6.202,0.927,2.118,3.638,3.144,3.646,3.608,3.493,3.796,3.966,4.58,3.211,2.916,0.111
p232_023.wav,9.769,,2.624,-3.488,0.845,1.51,3.104,2.721,3.617,2.941,3.725,2.82,3.726,4.162,2.311,2.072,0.139
p232_024.wav,5.52,,17.251,14.037,0.989,3.909,3.984,3.276,3.611,3.91,4.428,4.738,4.212,4.668,4.578,4.215,0.0
p232_025.wav,1.876,,10.75,0.313,0.939,3.069,3.76,3.23,3.574,3.959,4.255,3.829,3.071,3.952,3.573,3.109,0.0
p232_027.wav,3.771,,6.767,1.813,0.976,3.216,3.847,3.214,3.622,3.87,3.64,3.795,3.784,4.548,3.368,3.089,0.0
p232_028.wav,2.065,,0.331,-12.357,0.704,1.934,3.601,2.789,3.453,3.373,3.802,3.903,3.138,3.58,3.155,2.88,0.0
p232_029.wav,3.415,,18.287,8.844,0.922,2.468,3.971,3.139,3.495,3.884,4.365,3.544,3.916,4.208,3.613,3.209,0.0
p232_030.wav,3.849,,11.955,7.669,0.971,2.442,3.844,3.181,3.534,3.9,4.111,4.482,3.466,4.09,3.322,3.11,0.167
p232_031.wav,2.29,,5.757,-2.285,0.695,1.817,3.678,3.113,3.472,3.915,4.357,3.652,3.31,3.852,3.609,3.312,0.0
p232_032.wav,3.49,,3.541,-2.037,0.659,1.273,3.127,2.376,3.426,2.546,3.439,4.164,3.69,4.152,3.168,2.474,0.182
p232_033.wav,1.448,,15.427,3.05,0.774,2.712,3.363,2.732,3.415,3.243,3.637,4.308,3.635,4.699,3.564,2.962,0.0
p232_034.wav,1.472,,10.413,0.521,0.693,1.484,3.02,2.769,3.559,3.161,3.805,3.91,3.41,3.859,3.527,3.192,0.0
p232_035.wav,3.158,,7.297,0.887,0.923,1.91,3.227,3.032,3.658,3.417,3.432,3.116,3.636,4.066,2.662,2.153,0.077
p232_036.wav,2.843,,2.506,-4.825,0.756,1.318,3.11,2.601,3.452,2.865,3.341,3.209,3.687,3.305,2.931,2.437,0.0
p232_037.wav,3.856,,16.394,11.447,0.995,3.571,3.818,3.375,3.618,4.123,4.259,3.332,4.019,4.41,3.634,3.266,0.0
p232_038.wav,2.09,,10.85,1.68,0.91,2.773,3.738,3.061,3.448,3.852,4.153,3.206,3.437,3.555,3.583,3.172,0.0
p232_039.wav,1.94,,4.455,-6.466,0.618,2.017,3.117,2.607,3.131,3.598,3.833,2.727,3.327,3.633,3.302,3.185,0.0
p232_040.wav,1.898,,0.398,-7.329,0.988,2.663,3.32,3.053,3.456,3.836,3.573,3.375,4.117,3.695,3.196,2.954,0.0
p232_041.wav,2.007,,16.576,6.31,0.834,2.502,3.295,3.079,3.529,3.665,3.946,3.941,3.77,4.129,3.801,3.382,0.0
p232_042.wav,2.514,,11.335,5.077,0.982,2.947,3.991,3.249,3.561,4.021,3.121,4.316,4.052,4.439,3.522,3.042,0.0
p232_043.wav,1.96,,10.041,-0.113,0.756,1.848,2.956,3.199,3.538,3.939,3.128,3.258,3.661,4.333,2.934,2.641,0.0
p232_044.wav,1.383,,0.838,-7.506,0.693,1.33,3.031,2.1,2.949,2.541,2.747,3.243,3.406,4.505,2.301,2.001,0.0
p232_045.wav,1.238,,14.271,3.286,0.883,3.742,3.332,3.038,3.334,4.009,3.482,3.629,3.434,4.189,3.623,3.204,0.0
p232_046.wav,1.416,,10.346,-1.297,0.758,2.265,3.221,2.667,3.214,3.433,3.359,3.256,3.937,4.13,3.056,2.984,0.0
p232_047.wav,1.926,,5.911,-4.746,0.838,2.617,3.217,2.974,3.52,3.56,3.906,3.644,3.098,4.29,3.309,3.038,0.0
p232_048.wav,1.82,,-0.627,-13.585,0.599,1.909,3.568,2.779,3.549,3.174,3.125,3.168,3.217,3.866,2.749,2.373,0.2
p232_049.wav,2.941,,17.402,12.434,0.956,2.88,3.769,3.22,3.598,3.828,3.486,3.921,3.631,4.535,3.374,3.179,0.0
p232_050.wav,1.733,,11.054,2.439,0.808,1.932,3.17,2.868,3.238,3.823,4.239,3.684,3.513,4.613,3.637,3.222,0.0
p232_051.wav,1.476,,6.813,-5.208,0.784,1.823,3.001,2.778,3.527,3.153,4.449,4.093,3.889,4.069,3.377,2.636,0.5
p232_052.wav,2.199,,2.977,-7.166,0.575,1.272,2.786,1.856,3.207,1.763,2.598,4.201,3.063,3.321,2.478,1.943,0.286
p232_053.wav,1.644,,16.214,6.335,0.898,2.438,3.653,3.017,3.345,3.929,3.962,3.972,3.24,4.535,3.844,3.196,0.0
p232_054.wav,3.706,,12.349,5.268,0.944,2.403,3.463,2.912,3.605,3.306,2.689,3.844,4.064,4.748,3.236,2.649,0.0
p232_055.wav,1.526,,6.358,-4.24,0.738,1.94,3.276,2.857,3.322,3.652,3.311,2.954,3.701,4.203,2.769,2.197,0.0
p232_056.wav,1.803,,2.451,-7.643,0.685,1.632,2.812,2.744,3.339,3.336,3.108,3.205,3.248,3.372,2.707,2.153,0.0
p232_057.wav,2.236,,15.916,7.513,0.92,2.822,3.62,3.025,3.31,4.022,3.888,3.954,3.7,4.396,3.182,2.894,0.0
p232_058.wav,3.899,,11.648,7.936,0.958,3.488,4.038,3.179,3.528,3.911,4.126,4.022,3.695,4.489,3.841,3.475,0.0
p232_059.wav,1.32,,4.681,-6.85,0.713,2.251,3.073,2.985,3.376,3.911,3.789,3.018,3.227,3.641,2.82,2.813,0.0
p232_060.wav,2.34,,0.111,-10.709,0.731,2.182,3.057,2.665,3.219,3.39,2.793,3.315,3.163,3.516,2.764,2.372,0.0
p232_061.wav,3.249,,19.905,12.963,0.964,3.194,4.021,3.185,3.593,3.792,3.912,3.717,3.408,4.693,3.836,3.388,0.0
p232_062.wav,2.964,,12.124,4.618,0.942,2.579,3.5,3.092,3.49,3.769,3.962,3.712,3.755,4.374,3.539,2.941,0.111
p232_063.wav,2.264,,6.891,-2.107,0.937,2.22,3.671,3.124,3.551,3.846,3.858,3.543,3.674,3.968,3.442,2.718,0.2
p232_064.wav,2.01,,1.248,-10.162,0.824,1.643,3.155,2.513,3.386,2.833,2.851,3.017,3.019,3.359,3.134,2.746,0.0
p232_065.wav,1.524,,19.057,7.454,0.87,3.395,3.45,2.924,3.168,4.083,3.633,4.364,3.72,4.417,3.39,3.221,0.0
p232_066.wav,3.277,,11.965,6.151,0.947,3.08,3.747,2.884,3.306,3.695,3.714,4.541,3.86,3.962,3.913,3.455,0.0
p232_067.wav,2.617,,6.801,-0.418,0.93,3.072,3.624,3.127,3.438,3.983,3.731,4.203,3.464,3.965,3.456,3.179,0.0
p232_068.wav,2.522,,1.798,-2.456,0.913,2.527,3.697,2.889,3.452,3.45,3.501,4.596,3.824,3.747,3.137,2.618,0.0
p232_069.wav,2.669,,16.693,9.561,0.963,2.814,3.846,3.203,3.583,3.884,4.42,4.255,4.199,4.565,4.145,3.856,0.143
p232_070.wav,2.544,,11.535,4.533,0.862,2.638,3.66,3.041,3.531,3.619,3.749,3.489,3.891,4.465,3.615,3.298,0.125
p232_071.wav,2.589,,7.113,0.194,0.71,1.723,3.332,3.038,3.521,3.667,3.952,3.652,4.062,4.23,3.481,2.915,0.143
p232_072.wav,1.987,,1.684,-5.989,0.65,1.411,3.021,2.787,3.364,3.421,3.217,3.848,3.609,3.557,2.915,2.516,0.0
p232_073.wav,1.908,,16.656,3.654,0.967,2.644,3.736,3.209,3.52,3.978,4.15,3.746,3.17,4.106,3.639,3.329,0.0
p232_074.wav,2.21,,12.412,2.095,0.823,2.275,3.133,3.088,3.505,3.814,3.467,3.604,3.42,3.683,2.893,1.996,0.0
p232_075.wav,2.346,,8.127,-1.221,0.891,1.865,3.545,3.065,3.402,3.92,3.893,3.144,3.891,4.193,3.466,2.796,0.0
p232_076.wav,1.927,,2.719,-6.409,0.696,1.657,3.151,3.09,3.56,3.733,3.663,3.384,3.427,4.401,3.633,3.183,0.0
p232_077.wav,1.742,,15.033,4.781,0.861,3.019,3.511,2.989,3.3,3.962,3.687,3.518,3.607,3.966,3.844,3.496,0.0
p232_078.wav,2.261,,10.935,3.347,0.99,3.399,3.758,3.185,3.524,3.981,4.526,4.313,3.349,4.76,3.627,3.434,0.0
