                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.266  5.894  -3.225  4.682  9.929  14.537  25.688
SSNR                      824.0  0.971  6.288 -16.729 -3.906  0.950   6.083  17.660
ESTOI                     824.0  0.833  0.122   0.360  0.764  0.857   0.930   0.999
PESQ_WB                   824.0  2.201  0.716   1.044  1.550  2.220   2.762   4.119
POLQA_WB                  470.0  3.415  0.733   1.470  2.900  3.485   4.000   4.750
DNSMOS_P808               824.0  3.301  0.335   2.390  3.070  3.298   3.547   4.095
DNSMOS_OVRL               824.0  2.936  0.320   1.066  2.807  2.990   3.139   3.467
DNSMOS_SIG                824.0  3.439  0.242   1.191  3.372  3.482   3.572   3.814
DNSMOS_BAK                824.0  3.577  0.492   1.149  3.412  3.716   3.901   4.181
MOS_COL                   824.0  3.614  0.457   2.091  3.332  3.623   3.951   4.948
MOS_DISC                  824.0  3.638  0.492   1.950  3.298  3.656   3.970   4.945
MOS_LOUD                  824.0  3.710  0.361   2.604  3.458  3.694   3.978   4.836
MOS_REVERB                824.0  4.089  0.376   2.954  3.836  4.100   4.376   4.942
MOS_SIG                   824.0  3.233  0.414   1.824  2.934  3.259   3.522   4.984
MOS_OVRL                  824.0  2.798  0.456   1.400  2.491  2.824   3.130   4.970
WER_QuartzNet15x5Base-En  824.0  0.080  0.163   0.000  0.000  0.000   0.111   1.200
