                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.967  5.696  -3.217  5.452  10.355  15.248  25.333
SSNR                      824.0  1.910  5.916 -16.762 -2.479   2.230   6.612  18.663
ESTOI                     824.0  0.837  0.117   0.372  0.770   0.861   0.929   0.999
PESQ_WB                   824.0  2.320  0.725   1.036  1.752   2.286   2.864   4.319
POLQA_WB                  470.0  3.526  0.704   1.390  3.050   3.590   4.070   4.750
DNSMOS_P808               824.0  3.334  0.324   2.307  3.100   3.329   3.575   4.176
DNSMOS_OVRL               824.0  2.981  0.264   1.546  2.843   3.024   3.161   3.494
DNSMOS_SIG                824.0  3.465  0.165   1.901  3.377   3.498   3.581   3.826
DNSMOS_BAK                824.0  3.642  0.403   1.705  3.497   3.740   3.916   4.180
MOS_COL                   824.0  3.693  0.437   2.498  3.394   3.712   4.020   4.768
MOS_DISC                  824.0  3.701  0.480   2.396  3.342   3.713   4.050   4.852
MOS_LOUD                  824.0  3.752  0.340   2.514  3.520   3.760   3.997   4.725
MOS_REVERB                824.0  4.171  0.345   3.089  3.948   4.206   4.405   4.903
MOS_SIG                   824.0  3.396  0.423   2.104  3.102   3.422   3.697   4.729
MOS_OVRL                  824.0  2.932  0.448   1.593  2.644   2.948   3.258   4.348
WER_QuartzNet15x5Base-En  824.0  0.079  0.162   0.000  0.000   0.000   0.100   1.000
