FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,20.209,11.757,0.85,3.274,,3.861,3.381,3.612,4.146,3.52,3.293,3.571,3.807,3.065,2.772,0.0
p232_002.wav,2.715,,22.007,14.638,0.956,3.375,4.35,3.771,3.534,3.728,4.202,3.697,4.411,3.806,4.671,4.078,3.708,0.0
p232_003.wav,7.185,,20.102,13.481,0.934,3.153,4.34,3.953,3.298,3.545,4.12,4.036,4.05,4.094,4.76,3.649,3.438,0.05
p232_005.wav,6.247,,15.419,9.878,0.815,1.876,2.58,4.148,3.419,3.694,4.061,3.96,4.548,3.721,4.681,3.919,3.757,0.05
p232_006.wav,5.104,,18.773,12.429,0.911,2.924,3.98,4.126,3.42,3.673,4.17,4.015,3.95,4.02,4.579,4.274,3.824,0.235
p232_007.wav,3.956,,14.445,7.899,0.907,2.48,3.45,4.218,3.358,3.672,3.987,4.303,3.903,4.11,4.768,4.199,3.533,0.0
p232_009.wav,4.158,,17.382,10.656,0.895,2.372,3.43,3.87,3.393,3.65,4.105,3.786,3.771,4.001,4.656,3.648,3.249,0.0
p232_010.wav,2.764,,6.485,-1.291,0.584,1.338,2.33,3.671,2.484,3.215,2.974,3.893,3.935,4.166,4.779,3.35,3.015,0.375
p232_011.wav,6.538,,19.83,13.39,0.936,3.254,4.09,4.142,3.519,3.732,4.181,4.174,4.627,4.361,4.866,4.115,3.794,0.0
p232_012.wav,4.336,,18.493,12.993,0.936,2.781,3.74,4.051,3.47,3.722,4.127,4.575,4.264,4.146,4.888,4.514,4.121,0.0
p232_013.wav,3.943,,11.388,5.51,0.884,2.374,3.42,3.927,3.237,3.52,4.027,4.201,3.757,4.087,4.53,3.705,3.329,0.0
p232_014.wav,4.617,,11.555,7.585,0.82,1.691,2.53,3.948,3.182,3.595,3.822,4.395,3.545,3.681,4.672,3.542,2.974,0.0
p232_015.wav,5.32,,24.879,18.717,0.984,3.796,4.42,4.04,3.653,3.817,4.26,4.052,4.095,3.811,4.58,3.819,3.68,0.0
p232_016.wav,5.569,,22.708,17.39,0.972,3.506,4.34,4.232,3.499,3.741,4.118,3.739,4.109,4.106,4.518,3.851,3.59,0.0
p232_017.wav,2.889,,18.025,13.586,0.977,3.092,4.21,3.545,3.485,3.693,4.188,3.91,4.434,3.967,4.829,3.696,3.558,0.125
p232_019.wav,6.736,,18.221,12.896,0.947,2.473,3.53,3.841,3.559,3.731,4.247,4.174,4.309,3.987,4.765,3.962,3.714,0.105
p232_020.wav,3.617,,21.755,13.381,0.92,3.347,4.28,4.051,3.415,3.63,4.134,3.423,4.176,3.692,4.402,3.774,3.61,0.0
p232_021.wav,8.51,,21.054,14.697,0.949,3.211,3.83,4.158,3.371,3.658,4.036,4.009,4.146,4.292,4.844,4.209,4.018,0.0
p232_022.wav,5.794,,17.878,12.542,0.938,2.682,3.63,4.189,3.423,3.703,4.07,4.444,4.404,4.629,4.924,4.283,3.783,0.111
p232_023.wav,9.769,,14.563,8.915,0.875,1.926,2.73,3.902,3.51,3.749,4.154,4.234,3.805,4.066,4.867,4.076,3.578,0.083
p232_024.wav,5.52,,24.246,19.21,0.977,3.987,4.54,4.031,3.502,3.715,4.168,4.377,4.621,3.851,4.425,4.516,4.223,0.0
p232_025.wav,1.876,,23.174,13.267,0.938,2.937,,3.905,3.571,3.753,4.242,3.575,4.054,3.024,4.49,3.7,3.333,0.0
p232_027.wav,3.771,,22.39,15.723,0.977,3.678,4.2,3.958,3.532,3.743,4.191,4.397,4.357,3.747,4.745,3.959,3.76,0.0
p232_028.wav,2.065,,17.05,6.915,0.701,1.774,,3.755,3.172,3.409,4.103,3.341,4.059,3.143,4.282,3.874,3.262,0.0
p232_029.wav,3.415,,18.912,9.966,0.927,2.654,3.1,4.113,3.183,3.534,3.917,4.039,4.253,4.383,4.569,3.685,3.393,0.0
p232_030.wav,3.849,,19.428,13.143,0.978,3.142,4.14,3.935,3.31,3.606,4.046,3.753,4.536,3.739,4.192,3.553,3.347,0.083
p232_031.wav,2.29,,17.847,8.089,0.708,2.037,2.74,3.766,3.314,3.625,3.991,4.057,3.987,3.806,4.51,3.871,3.63,0.0
p232_032.wav,3.49,,4.305,-0.371,0.645,1.292,2.01,3.681,2.927,3.571,3.466,3.857,3.959,3.75,4.716,4.036,3.372,0.455
p232_033.wav,1.448,,19.957,7.981,0.785,2.69,,3.562,2.98,3.353,3.837,3.356,4.069,3.527,3.95,3.541,3.075,0.0
p232_034.wav,1.472,,14.404,6.702,0.77,2.181,,3.223,3.034,3.374,3.887,3.743,4.428,4.118,4.62,4.183,3.67,0.0
p232_035.wav,3.158,,15.516,9.881,0.922,2.089,3.18,3.615,3.408,3.634,4.125,4.166,3.952,3.669,4.473,3.22,3.011,0.154
p232_036.wav,2.843,,6.125,-0.896,0.759,1.701,2.6,3.622,3.074,3.495,3.797,4.107,3.642,4.178,4.122,4.034,3.565,0.1
p232_037.wav,3.856,,24.387,17.297,0.995,3.839,4.67,3.868,3.469,3.672,4.176,3.662,4.166,4.304,4.483,3.924,3.484,0.0
p232_038.wav,2.09,,22.344,12.462,0.907,2.488,,3.851,3.278,3.557,4.051,3.647,4.03,3.643,4.255,3.263,2.995,0.0
p232_039.wav,1.94,,19.092,7.011,0.673,2.391,,3.579,3.047,3.323,4.012,4.056,4.11,4.0,4.509,3.919,3.706,0.0
p232_040.wav,1.898,,20.484,11.444,0.99,2.611,,3.403,3.094,3.49,3.779,4.304,4.398,3.806,4.406,3.37,3.014,0.0
p232_041.wav,2.007,,18.209,8.859,0.823,2.556,,3.391,3.117,3.54,3.778,3.984,3.767,4.083,4.552,3.624,3.294,0.0
p232_042.wav,2.514,,22.454,13.834,0.986,3.634,4.26,4.136,3.522,3.709,4.218,3.735,4.242,3.931,4.556,4.049,3.741,0.0
p232_043.wav,1.96,,14.35,5.467,0.799,2.233,,3.291,3.412,3.618,4.183,3.776,4.169,3.893,3.714,3.377,3.022,0.286
p232_044.wav,1.383,,4.162,-2.807,0.708,1.872,,3.137,2.558,3.118,3.293,3.975,3.713,3.758,4.317,3.246,2.756,0.0
p232_045.wav,1.238,,25.206,12.178,0.876,3.818,,3.494,3.149,3.41,4.095,3.369,3.313,3.32,4.398,3.118,2.677,0.0
p232_046.wav,1.416,,19.844,7.741,0.758,2.048,,3.254,3.081,3.392,3.977,3.477,3.279,4.037,3.629,3.795,3.347,0.0
p232_047.wav,1.926,,17.956,8.884,0.844,2.371,,3.335,3.201,3.549,3.89,3.663,4.261,3.614,4.355,3.704,3.421,0.0
p232_048.wav,1.82,,16.791,6.178,0.599,1.8,,3.53,3.347,3.609,4.071,3.554,4.549,3.314,4.674,3.67,3.134,0.0
p232_049.wav,2.941,,22.242,14.833,0.967,3.338,3.85,3.921,3.399,3.663,4.06,3.761,4.301,4.07,4.79,3.774,3.529,0.0
p232_050.wav,1.733,,16.905,7.252,0.844,2.001,,3.146,3.036,3.296,4.012,3.645,3.833,3.965,4.512,3.675,3.304,0.0
p232_051.wav,1.476,,11.314,2.323,0.758,1.563,,3.295,3.011,3.309,3.974,4.399,4.664,3.749,4.843,4.051,3.719,0.75
p232_052.wav,2.199,,6.029,-1.608,0.628,1.325,,3.335,3.088,3.494,3.796,3.418,3.653,3.682,4.619,3.762,3.278,0.429
p232_053.wav,1.644,,20.805,10.665,0.889,2.498,,3.823,3.275,3.513,4.119,3.962,3.746,3.382,4.469,3.654,3.062,0.0
p232_054.wav,3.706,,19.411,12.223,0.956,2.725,3.78,3.71,3.333,3.605,4.04,3.657,4.359,3.942,4.592,3.775,3.621,0.091
p232_055.wav,1.526,,16.675,7.573,0.828,3.211,,3.889,2.953,3.215,4.004,3.269,4.142,3.892,4.407,3.172,2.921,0.0
p232_056.wav,1.803,,4.031,-3.288,0.673,1.49,,3.4,2.497,2.921,3.568,3.802,4.131,3.373,3.693,3.061,2.856,0.0
p232_057.wav,2.236,,22.525,12.804,0.931,2.948,4.33,3.72,3.086,3.348,4.049,3.721,3.405,3.854,4.657,3.181,2.88,0.0
p232_058.wav,3.899,,23.698,17.681,0.953,3.592,4.15,4.177,3.459,3.671,4.189,4.599,4.088,3.629,4.614,3.87,3.429,0.0
p232_059.wav,1.32,,10.851,5.823,0.691,2.088,,3.049,3.076,3.344,3.992,3.11,3.905,3.3,4.111,2.87,2.743,0.0
p232_060.wav,2.34,,17.475,8.411,0.738,2.368,2.68,3.392,3.093,3.46,3.856,3.44,4.377,3.537,4.073,3.095,2.822,0.0
p232_061.wav,3.249,,21.987,14.343,0.978,3.34,3.9,4.107,3.523,3.721,4.204,4.664,4.435,4.32,4.863,4.744,4.537,0.111
p232_062.wav,2.964,,20.436,11.459,0.936,2.756,3.73,3.746,3.514,3.76,4.147,3.737,4.343,3.761,4.448,4.379,3.982,0.111
p232_063.wav,2.264,,14.516,7.758,0.947,2.026,4.01,3.641,3.162,3.489,3.974,3.33,4.541,3.546,4.633,3.997,3.588,0.0
p232_064.wav,2.01,,10.486,1.332,0.887,2.48,,3.303,3.063,3.33,4.032,4.594,3.754,4.814,4.406,3.982,3.628,0.0
p232_065.wav,1.524,,18.543,8.72,0.871,3.468,,3.469,2.856,3.077,4.103,3.588,4.019,3.048,4.41,3.363,2.964,0.0
p232_066.wav,3.277,,22.376,14.932,0.95,3.03,4.43,3.874,2.952,3.405,3.608,3.86,4.249,3.765,4.612,3.884,3.653,0.0
p232_067.wav,2.617,,21.58,12.46,0.924,3.275,3.96,3.727,3.397,3.644,4.128,3.981,4.421,3.667,4.545,3.53,3.371,0.167
p232_068.wav,2.522,,18.663,13.301,0.915,3.0,4.0,3.781,3.273,3.532,4.085,3.886,4.061,3.864,4.543,3.634,3.45,0.0
p232_069.wav,2.669,,21.729,13.143,0.958,3.025,3.82,3.935,3.459,3.681,4.164,4.273,3.839,3.92,4.087,4.293,3.894,0.143
p232_070.wav,2.544,,15.553,9.175,0.864,2.209,3.16,3.928,3.412,3.617,4.171,3.499,3.84,3.987,4.305,4.031,3.665,0.0
p232_071.wav,2.589,,14.306,5.791,0.687,1.573,3.01,3.133,3.058,3.581,3.547,3.748,4.355,3.437,4.548,3.35,2.934,0.286
p232_072.wav,1.987,,5.13,-1.811,0.684,1.492,,3.602,2.904,3.247,3.807,3.95,4.596,3.522,4.584,4.488,3.83,0.0
p232_073.wav,1.908,,20.005,8.048,0.978,2.576,,3.983,3.299,3.555,4.098,3.378,4.416,3.521,4.137,3.49,3.206,0.0
p232_074.wav,2.21,,20.646,8.92,0.838,2.461,3.01,3.144,2.791,3.536,3.053,3.546,3.602,3.274,4.382,3.334,2.966,0.2
p232_075.wav,2.346,,11.303,3.788,0.894,2.172,3.36,3.987,3.189,3.514,3.93,4.323,4.285,3.318,4.766,3.792,3.412,0.4
p232_076.wav,1.927,,4.364,-1.692,0.675,1.378,,3.204,3.169,3.493,3.978,3.677,3.798,3.576,4.213,3.987,3.514,0.0
p232_077.wav,1.742,,22.361,10.326,0.842,3.678,,3.622,3.205,3.431,4.156,3.971,3.43,3.483,4.557,3.883,3.596,0.0
p232_078.wav,2.261,,24.606,14.709,0.98,3.652,4.38,3.837,3.369,3.601,4.159,3.819,3.976,3.426,4.714,3.997,3.609,0.0
p232_079.wav,2.394,,21.804,13.203,0.898,3.093,4.12,3.843,3.333,3.564,4.135,3.553,4.637,4.453,4.436,3.984,3.54,0.0
p232_080.wav,2.08,,16.21,3.853,0.752,1.46,,2.821,2.641,3.441,2.962,4.222,4.374,3.707,4.588,3.255,2.866,0.0
p232_081.wav,1.885,,22.197,14.281,0.879,2.758,,3.785,3.374,3.631,4.123,3.5,3.544,3.583,3.981,3.427,3.329,0.4
p232_082.wav,1.559,,14.186,4.7,0.604,1.485,,3.218,2.746,3.534,3.141,3.317,3.223,3.53,3.805,3.044,2.915,0.0
p232_083.wav,1.661,,16.797,7.692,0.868,2.333,,3.294,3.369,3.625,4.086,3.193,3.68,3.707,4.163,3.16,3.065,0.0
