                          count    mean    std    min     25%     50%     75%     max
DURATION                  824.0   2.515  0.890  1.238   1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN    NaN     NaN     NaN     NaN     NaN
SI-SDR                    824.0  17.005  5.136  1.654  14.643  17.922  20.419  26.964
SSNR                      824.0   8.493  4.533 -9.331   6.178   8.885  11.542  19.210
ESTOI                     824.0   0.843  0.114  0.331   0.777   0.870   0.933   0.999
PESQ_WB                   824.0   2.463  0.693  1.070   1.939   2.479   3.012   4.083
POLQA_WB                  470.0   3.627  0.703  1.400   3.152   3.730   4.198   4.750
DNSMOS_P808               824.0   3.509  0.299  2.539   3.304   3.510   3.736   4.232
DNSMOS_OVRL               824.0   3.148  0.257  2.131   2.992   3.197   3.339   3.660
DNSMOS_SIG                824.0   3.480  0.184  2.573   3.375   3.526   3.614   3.838
DNSMOS_BAK                824.0   3.923  0.285  2.351   3.831   4.007   4.113   4.260
MOS_COL                   824.0   3.689  0.384  2.230   3.443   3.697   3.966   4.664
MOS_DISC                  824.0   4.004  0.367  2.182   3.760   4.017   4.271   4.938
MOS_LOUD                  824.0   3.846  0.335  2.875   3.621   3.843   4.082   4.814
MOS_REVERB                824.0   4.444  0.295  3.278   4.256   4.490   4.670   4.940
MOS_SIG                   824.0   3.610  0.366  2.230   3.352   3.618   3.857   4.744
MOS_OVRL                  824.0   3.245  0.364  2.006   2.990   3.257   3.485   4.537
WER_QuartzNet15x5Base-En  824.0   0.092  0.179  0.000   0.000   0.000   0.111   1.000
