                          count    mean    std     min    25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  13.440  6.159  -3.099  8.626  14.426  18.184  28.249
SSNR                      824.0   5.820  5.930 -16.712  2.123   6.937  10.073  19.831
ESTOI                     824.0   0.842  0.114   0.371  0.779   0.867   0.931   0.999
PESQ_WB                   824.0   2.444  0.790   1.046  1.795   2.415   3.091   4.315
POLQA_WB                  470.0   3.654  0.698   1.580  3.160   3.760   4.250   4.750
DNSMOS_P808               824.0   3.444  0.311   2.518  3.225   3.446   3.674   4.237
DNSMOS_OVRL               824.0   3.078  0.258   1.519  2.928   3.122   3.263   3.543
DNSMOS_SIG                824.0   3.489  0.171   1.972  3.410   3.530   3.606   3.789
DNSMOS_BAK                824.0   3.779  0.356   1.733  3.633   3.870   4.037   4.221
MOS_COL                   824.0   3.767  0.410   2.641  3.492   3.772   4.060   4.797
MOS_DISC                  824.0   3.918  0.439   2.352  3.651   3.931   4.250   4.893
MOS_LOUD                  824.0   3.762  0.361   2.801  3.510   3.737   4.017   4.876
MOS_REVERB                824.0   4.281  0.355   3.002  4.043   4.328   4.551   4.914
MOS_SIG                   824.0   3.593  0.391   2.305  3.345   3.623   3.856   4.724
MOS_OVRL                  824.0   3.171  0.409   1.912  2.922   3.183   3.455   4.453
WER_QuartzNet15x5Base-En  824.0   0.083  0.168   0.000  0.000   0.000   0.100   1.400
