                          count    mean    std     min     25%     50%     75%     max
DURATION                  824.0   2.515  0.890   1.238   1.913   2.324   2.963   9.769
INPUT_SNR                   0.0     NaN    NaN     NaN     NaN     NaN     NaN     NaN
SI-SDR                    824.0  16.428  5.398  -0.523  13.662  17.700  20.198  26.720
SSNR                      824.0   8.366  4.501 -12.197   5.934   8.722  11.391  19.453
ESTOI                     824.0   0.841  0.116   0.348   0.774   0.868   0.933   0.999
PESQ_WB                   824.0   2.386  0.704   1.055   1.804   2.411   2.950   4.094
POLQA_WB                  469.0   3.565  0.704   1.370   3.060   3.650   4.150   4.750
DNSMOS_P808               824.0   3.484  0.305   2.530   3.280   3.484   3.709   4.288
DNSMOS_OVRL               824.0   3.158  0.254   1.761   3.022   3.204   3.343   3.636
DNSMOS_SIG                824.0   3.472  0.186   2.744   3.372   3.506   3.611   3.832
DNSMOS_BAK                824.0   3.964  0.262   1.757   3.902   4.040   4.127   4.261
MOS_COL                   824.0   3.626  0.378   2.473   3.363   3.636   3.897   4.749
MOS_DISC                  824.0   4.020  0.360   2.673   3.791   4.012   4.276   4.907
MOS_LOUD                  824.0   3.800  0.336   2.663   3.569   3.797   4.030   4.739
MOS_REVERB                824.0   4.411  0.310   3.266   4.206   4.451   4.659   4.934
MOS_SIG                   824.0   3.624  0.346   2.307   3.396   3.627   3.860   4.695
MOS_OVRL                  824.0   3.262  0.342   2.074   3.025   3.271   3.489   4.598
WER_QuartzNet15x5Base-En  824.0   0.093  0.179   0.000   0.000   0.000   0.125   1.000
