FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,15.469,6.185,0.829,2.926,,3.35,3.238,3.62,3.921,3.594,3.694,3.4,3.627,3.117,2.972,0.0
p232_002.wav,2.715,,11.319,5.778,0.942,3.06,3.96,3.586,3.273,3.695,3.801,3.685,3.504,3.914,3.882,3.764,3.263,0.0
p232_003.wav,7.185,,6.73,-0.284,0.923,2.811,4.02,3.793,3.084,3.534,3.734,3.322,3.541,3.592,4.306,3.236,2.934,0.05
p232_005.wav,6.247,,1.854,-3.033,0.726,1.331,2.2,2.843,2.505,3.547,2.539,3.359,2.723,3.063,3.612,2.546,2.327,0.0
p232_006.wav,5.104,,16.847,10.276,0.879,2.201,3.14,3.801,2.965,3.663,3.28,3.106,3.352,3.584,4.065,2.933,2.4,0.176
p232_007.wav,3.956,,11.809,4.696,0.829,1.555,2.54,3.333,2.661,3.616,2.787,2.806,3.84,3.576,4.228,2.52,2.052,0.0
p232_009.wav,4.158,,6.766,1.338,0.857,1.809,2.79,3.43,2.836,3.62,3.075,3.593,4.002,3.1,4.552,2.857,2.619,0.0
p232_010.wav,2.764,,0.883,-10.816,0.421,1.22,1.95,2.36,1.15,1.332,1.174,2.663,2.552,2.984,3.493,2.633,1.769,0.125
p232_011.wav,6.538,,16.8,9.869,0.911,2.73,3.57,3.953,2.99,3.708,3.234,3.409,3.816,4.081,4.741,3.54,2.991,0.0
p232_012.wav,4.336,,11.902,5.583,0.899,2.038,3.04,3.587,3.0,3.663,3.401,3.834,3.648,3.66,4.081,3.377,3.08,0.0
p232_013.wav,3.943,,6.801,-0.9,0.813,1.415,2.53,3.071,2.552,3.581,2.627,2.989,2.94,3.333,4.098,3.099,2.207,0.0
p232_014.wav,4.617,,1.925,-4.496,0.752,1.27,2.05,2.97,2.645,3.602,2.831,3.263,2.723,3.343,3.523,2.341,1.8,0.0
p232_015.wav,5.32,,16.946,12.743,0.987,3.632,4.21,3.943,3.433,3.67,4.127,4.169,3.699,4.1,4.072,4.026,3.696,0.0
p232_016.wav,5.569,,11.991,7.991,0.979,3.365,4.06,4.061,3.286,3.645,3.938,3.581,3.515,3.815,4.324,3.539,3.151,0.0
p232_017.wav,2.889,,6.436,0.159,0.977,2.772,3.83,3.336,3.115,3.485,3.899,3.504,3.184,3.918,4.607,3.007,2.473,0.25
p232_019.wav,6.736,,2.057,-2.591,0.935,2.196,3.08,3.52,3.129,3.651,3.633,3.267,3.098,3.821,4.012,2.64,2.371,0.105
p232_020.wav,3.617,,16.235,8.232,0.898,2.893,3.92,3.774,3.232,3.726,3.644,3.534,3.538,3.726,4.772,2.984,2.65,0.0
p232_021.wav,8.51,,11.913,7.992,0.92,2.594,3.36,3.934,2.973,3.638,3.302,3.251,3.761,4.399,4.682,3.345,2.849,0.0
p232_022.wav,5.794,,6.99,2.306,0.89,1.646,2.82,3.441,3.007,3.663,3.373,3.243,3.472,3.721,4.022,3.048,2.443,0.056
p232_023.wav,9.769,,1.988,-4.429,0.796,1.309,2.18,2.985,2.568,3.605,2.64,3.15,2.978,3.562,4.005,2.659,2.005,0.139
p232_024.wav,5.52,,16.804,12.905,0.982,3.802,4.41,3.982,3.292,3.636,3.896,4.544,4.779,4.466,4.612,4.503,4.232,0.0
p232_025.wav,1.876,,10.636,0.164,0.917,2.919,,3.575,3.133,3.621,3.699,4.387,3.741,3.619,3.518,3.669,3.148,0.0
p232_027.wav,3.771,,6.707,1.451,0.975,2.909,3.88,3.821,3.176,3.666,3.674,3.293,3.582,3.563,4.461,2.97,2.696,0.0
p232_028.wav,2.065,,0.2,-12.56,0.58,1.447,,3.142,2.484,3.36,2.769,2.753,3.126,2.995,3.873,2.649,2.32,0.2
p232_029.wav,3.415,,16.519,6.422,0.84,1.771,2.68,3.448,2.909,3.703,3.205,3.695,2.939,3.508,4.283,2.57,2.421,0.0
p232_030.wav,3.849,,11.715,6.685,0.932,1.967,3.11,3.557,2.837,3.621,3.131,3.972,4.114,3.539,4.092,3.004,2.821,0.083
p232_031.wav,2.29,,5.558,-3.831,0.635,1.552,2.82,3.107,2.87,3.646,3.178,2.963,3.998,3.277,3.855,2.927,2.771,0.0
p232_032.wav,3.49,,1.544,-5.532,0.476,1.112,1.5,2.319,1.204,1.478,1.212,2.296,2.774,3.23,3.633,2.655,1.712,0.455
p232_033.wav,1.448,,14.959,2.273,0.757,2.463,,3.245,2.681,3.459,3.065,3.088,4.231,3.708,4.439,3.436,2.948,0.0
p232_034.wav,1.472,,10.069,-0.005,0.662,1.434,,2.803,2.579,3.527,2.877,3.61,3.662,3.359,4.171,3.253,2.859,0.0
p232_035.wav,3.158,,6.631,-0.219,0.878,1.538,2.61,2.765,2.695,3.666,2.798,3.135,2.737,3.681,3.99,2.545,1.852,0.154
p232_036.wav,2.843,,1.577,-6.706,0.58,1.152,1.89,2.608,1.261,1.708,1.406,2.868,3.569,2.905,3.526,2.69,2.162,0.0
p232_037.wav,3.856,,16.564,11.641,0.995,3.651,4.49,3.783,3.353,3.604,4.106,4.32,3.297,4.002,4.423,3.563,3.136,0.0
p232_038.wav,2.09,,10.947,1.763,0.904,2.839,,3.715,3.117,3.511,3.876,4.187,3.242,3.343,3.652,3.71,3.258,0.0
p232_039.wav,1.94,,4.427,-6.55,0.617,2.136,,3.096,2.743,3.28,3.594,3.706,2.839,3.394,3.714,3.227,3.107,0.0
