                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  8.444  5.618  -3.123  2.354  7.381  11.992  17.098
SSNR                      824.0 -0.388  6.263 -16.710 -5.375 -0.214   4.731  14.601
ESTOI                     824.0  0.787  0.150   0.276  0.698  0.813   0.913   0.998
PESQ_WB                   824.0  1.970  0.753   1.031  1.289  1.798   2.552   4.303
POLQA_WB                  470.0  3.111  0.790   1.350  2.560  3.080   3.678   4.750
DNSMOS_P808               824.0  3.092  0.391   2.157  2.795  3.099   3.380   4.061
DNSMOS_OVRL               824.0  2.690  0.530   1.093  2.552  2.826   3.042   3.458
DNSMOS_SIG                824.0  3.334  0.540   1.189  3.364  3.507   3.595   3.799
DNSMOS_BAK                824.0  3.117  0.750   1.122  2.800  3.272   3.685   4.164
MOS_COL                   824.0  3.330  0.468   2.054  2.978  3.314   3.639   4.567
MOS_DISC                  824.0  3.455  0.512   1.834  3.108  3.452   3.799   4.807
MOS_LOUD                  824.0  3.571  0.377   2.225  3.304  3.572   3.815   4.761
MOS_REVERB                824.0  4.014  0.368   2.990  3.737  4.003   4.298   4.852
MOS_SIG                   824.0  3.061  0.409   1.971  2.776  3.021   3.338   4.503
MOS_OVRL                  824.0  2.565  0.489   1.474  2.171  2.537   2.936   4.232
WER_QuartzNet15x5Base-En  824.0  0.082  0.161   0.000  0.000  0.000   0.111   1.000
