                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.309  5.697  -3.206  4.871  10.042  14.074  25.749
SSNR                      824.0  1.050  6.049 -16.754 -3.689   1.138   5.972  14.447
ESTOI                     824.0  0.838  0.115   0.181  0.768   0.863   0.929   0.999
PESQ_WB                   824.0  2.212  0.719   1.052  1.571   2.206   2.774   4.261
POLQA_WB                  470.0  3.452  0.680   1.480  2.970   3.530   3.963   4.750
DNSMOS_P808               824.0  3.324  0.311   2.503  3.107   3.309   3.553   4.119
DNSMOS_OVRL               824.0  2.973  0.242   1.810  2.845   2.999   3.145   3.450
DNSMOS_SIG                824.0  3.469  0.160   2.212  3.388   3.502   3.577   3.768
DNSMOS_BAK                824.0  3.622  0.373   1.758  3.464   3.699   3.884   4.179
MOS_COL                   824.0  3.653  0.437   2.066  3.362   3.661   3.975   4.662
MOS_DISC                  824.0  3.630  0.476   2.336  3.292   3.623   3.972   4.789
MOS_LOUD                  824.0  3.743  0.343   2.731  3.519   3.738   3.953   4.797
MOS_REVERB                824.0  4.097  0.374   2.940  3.836   4.118   4.376   4.882
MOS_SIG                   824.0  3.276  0.380   2.191  3.030   3.286   3.528   4.626
MOS_OVRL                  824.0  2.838  0.417   1.514  2.548   2.868   3.140   4.261
WER_QuartzNet15x5Base-En  824.0  0.077  0.160   0.000  0.000   0.000   0.100   1.000
