FILENAME,DURATION,INPUT_SNR,SI-SDR,SSNR,ESTOI,PESQ_WB,POLQA_WB,DNSMOS_P808,DNSMOS_OVRL,DNSMOS_SIG,DNSMOS_BAK,MOS_COL,MOS_DISC,MOS_LOUD,MOS_REVERB,MOS_SIG,MOS_OVRL,WER_QuartzNet15x5Base-En
p232_001.wav,1.741,,15.48,6.076,0.855,3.155,,3.799,3.271,3.586,4.047,3.713,3.982,3.902,3.78,3.856,3.491,0.0
p232_002.wav,2.715,,11.326,5.894,0.956,3.481,4.34,3.658,3.168,3.544,3.824,4.178,3.639,3.65,3.918,4.042,3.521,0.0
p232_003.wav,7.185,,6.763,-0.157,0.935,2.992,4.15,3.843,3.097,3.492,3.832,3.266,3.792,3.534,4.409,3.358,2.993,0.05
p232_005.wav,6.247,,1.912,-2.822,0.743,1.439,2.36,3.46,2.603,3.593,2.657,3.802,2.969,2.979,3.723,2.685,2.389,0.05
p232_006.wav,5.104,,17.468,11.277,0.903,2.644,3.61,4.068,3.107,3.472,3.856,4.305,4.31,3.818,4.436,3.613,3.238,0.059
p232_007.wav,3.956,,13.614,7.195,0.91,2.424,3.27,3.953,3.185,3.606,3.731,4.181,3.874,4.334,4.387,3.672,3.123,0.0
p232_009.wav,4.158,,7.0,1.988,0.901,2.344,3.35,3.827,3.121,3.495,3.878,3.258,4.392,3.84,4.756,2.912,2.542,0.0
p232_010.wav,2.764,,1.113,-10.374,0.446,1.239,1.91,2.404,1.212,1.499,1.223,2.678,2.727,2.841,3.296,2.712,1.866,0.125
p232_011.wav,6.538,,17.73,11.421,0.933,3.002,3.99,4.068,3.362,3.637,4.049,3.988,3.977,4.693,4.733,3.943,3.491,0.0
p232_012.wav,4.336,,13.186,7.52,0.931,2.48,3.41,3.756,3.144,3.664,3.64,4.135,3.855,3.797,4.266,3.684,3.254,0.0
p232_013.wav,3.943,,7.617,0.242,0.843,1.581,2.66,3.28,2.697,3.594,2.887,3.09,3.96,3.606,4.081,3.149,2.536,0.0
p232_014.wav,4.617,,2.187,-3.831,0.812,1.389,2.05,2.996,2.778,3.627,3.065,3.107,2.826,3.537,3.702,2.71,2.146,0.0
p232_015.wav,5.32,,16.936,12.675,0.987,3.727,4.22,3.976,3.465,3.692,4.151,4.004,3.58,3.79,3.889,3.75,3.451,0.0
p232_016.wav,5.569,,12.049,8.05,0.977,3.419,4.15,4.117,3.268,3.624,3.932,3.727,3.609,3.852,4.259,3.606,3.236,0.0
p232_017.wav,2.889,,6.476,0.142,0.978,3.101,4.22,3.471,3.047,3.4,3.881,3.964,3.542,3.792,4.498,3.349,2.918,0.25
p232_019.wav,6.736,,2.115,-2.391,0.943,2.347,3.21,3.603,3.213,3.68,3.753,3.156,3.867,4.001,4.283,2.792,2.5,0.105
p232_020.wav,3.617,,17.769,10.308,0.915,3.182,4.26,3.882,3.259,3.582,3.955,3.525,4.576,3.753,4.86,3.565,3.25,0.0
p232_021.wav,8.51,,12.082,8.693,0.94,2.833,3.53,4.06,3.204,3.59,3.816,3.735,3.842,4.292,4.627,3.561,3.281,0.0
p232_022.wav,5.794,,7.524,3.187,0.924,2.062,3.06,3.628,3.036,3.652,3.438,3.549,3.698,4.105,4.341,3.213,2.765,0.111
p232_023.wav,9.769,,2.138,-4.038,0.837,1.435,2.56,3.181,2.835,3.668,3.028,3.343,2.978,3.421,4.15,2.726,2.259,0.083
p232_024.wav,5.52,,17.383,14.228,0.99,3.949,4.58,4.001,3.313,3.64,3.948,4.695,4.785,4.297,4.665,4.771,4.44,0.0
p232_025.wav,1.876,,10.638,0.235,0.945,3.193,,3.774,3.225,3.587,3.935,4.371,3.35,3.073,3.483,3.492,3.147,0.0
p232_027.wav,3.771,,6.771,1.706,0.975,3.294,4.07,3.871,3.194,3.618,3.825,3.759,3.753,3.842,4.595,3.431,3.164,0.0
p232_028.wav,2.065,,0.315,-12.306,0.687,1.893,,3.502,2.729,3.443,3.235,3.305,3.261,3.463,3.728,3.167,2.823,0.0
p232_029.wav,3.415,,18.212,8.727,0.931,2.621,3.4,3.967,3.15,3.524,3.855,4.218,3.681,4.085,4.555,3.777,3.446,0.0
p232_030.wav,3.849,,12.319,7.964,0.976,2.748,3.78,3.887,3.141,3.493,3.91,4.16,3.947,3.541,4.089,3.478,3.127,0.167
p232_031.wav,2.29,,5.739,-2.799,0.689,1.902,3.18,3.634,3.014,3.407,3.802,4.143,3.91,3.716,4.099,3.668,3.397,0.0
p232_032.wav,3.49,,2.399,-3.978,0.548,1.165,1.65,2.673,1.522,2.387,1.515,2.506,2.934,3.628,3.615,2.707,1.68,0.182
