                          count   mean    std     min    25%    50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913  2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN    NaN     NaN     NaN
SI-SDR                    824.0  9.076  5.891  -3.099  2.903  9.882  14.367  23.385
SSNR                      824.0  0.642  6.455 -16.677 -4.362  0.730   5.960  16.177
ESTOI                     824.0  0.821  0.141   0.284  0.749  0.852   0.930   0.999
PESQ_WB                   824.0  2.245  0.783   1.033  1.506  2.250   2.841   4.376
POLQA_WB                  470.0  3.421  0.804   1.450  2.892  3.535   4.060   4.750
DNSMOS_P808               824.0  3.268  0.393   2.234  3.020  3.284   3.574   4.117
DNSMOS_OVRL               824.0  2.844  0.493   1.082  2.768  2.978   3.142   3.465
DNSMOS_SIG                824.0  3.350  0.477   1.194  3.341  3.482   3.569   3.774
DNSMOS_BAK                824.0  3.438  0.717   1.085  3.268  3.682   3.908   4.189
MOS_COL                   824.0  3.598  0.476   2.275  3.268  3.632   3.948   4.775
MOS_DISC                  824.0  3.614  0.488   2.140  3.267  3.633   3.957   4.812
MOS_LOUD                  824.0  3.713  0.382   2.661  3.453  3.721   3.988   4.875
MOS_REVERB                824.0  4.045  0.397   2.970  3.744  4.072   4.343   4.904
MOS_SIG                   824.0  3.273  0.433   2.212  2.967  3.298   3.580   4.821
MOS_OVRL                  824.0  2.815  0.513   1.458  2.468  2.866   3.199   4.692
WER_QuartzNet15x5Base-En  824.0  0.075  0.151   0.000  0.000  0.000   0.100   1.000
