                          count   mean    std     min    25%     50%     75%     max
DURATION                  824.0  2.515  0.890   1.238  1.913   2.324   2.963   9.769
INPUT_SNR                   0.0    NaN    NaN     NaN    NaN     NaN     NaN     NaN
SI-SDR                    824.0  9.280  5.962  -3.088  4.287  10.015  14.830  25.836
SSNR                      824.0  0.870  6.459 -16.541 -4.090   1.047   6.236  18.580
ESTOI                     824.0  0.817  0.141   0.286  0.737   0.851   0.930   0.999
PESQ_WB                   824.0  2.232  0.781   1.035  1.515   2.224   2.852   4.293
POLQA_WB                  470.0  3.409  0.799   1.360  2.830   3.515   4.018   4.750
DNSMOS_P808               824.0  3.259  0.392   2.096  3.016   3.278   3.559   4.181
DNSMOS_OVRL               824.0  2.825  0.493   1.079  2.726   2.955   3.134   3.451
DNSMOS_SIG                824.0  3.345  0.456   1.176  3.332   3.468   3.563   3.743
DNSMOS_BAK                824.0  3.412  0.723   1.065  3.195   3.688   3.909   4.169
MOS_COL                   824.0  3.547  0.486   2.239  3.174   3.572   3.907   4.629
MOS_DISC                  824.0  3.629  0.503   2.133  3.280   3.623   3.992   4.859
MOS_LOUD                  824.0  3.691  0.382   2.651  3.443   3.700   3.954   4.803
MOS_REVERB                824.0  4.074  0.403   2.617  3.776   4.094   4.398   4.937
MOS_SIG                   824.0  3.253  0.440   2.000  2.949   3.241   3.580   4.619
MOS_OVRL                  824.0  2.786  0.507   1.409  2.418   2.816   3.170   4.278
WER_QuartzNet15x5Base-En  824.0  0.081  0.164   0.000  0.000   0.000   0.100   1.000
